episode,return
1.0,11.69623428615163
2.0,42.11296359270836
3.0,36.11680884728225
4.0,48.36978189400215
5.0,77.85476965025353
6.0,47.88747261827374
7.0,52.77272117785554
8.0,36.97112697528118
9.0,70.83899909714025
10.0,76.9274762801426
11.0,33.6237727089655
12.0,25.706135959674782
13.0,64.89700933853132
14.0,37.523760184408374
15.0,82.13065005955642
16.0,40.02623618109309
17.0,85.93381812516952
18.0,74.4400951120323
19.0,29.13042793597178
20.0,87.10293470418618
21.0,49.31151765790073
22.0,82.4128520857783
23.0,8.557496746234262
24.0,6.539778798821349
25.0,7.82945474063546
26.0,-0.7845967061434921
27.0,63.052030891478104
28.0,27.46700397575511
29.0,77.85324974145318
30.0,3.014364020382575
31.0,32.36092860609542
32.0,64.3835771899107
33.0,20.087482673927223
34.0,16.338045636684736
35.0,25.627510782130873
36.0,48.135571971663566
37.0,77.52566149432892
38.0,59.68575066433828
39.0,38.64132226110618
40.0,31.122834204940162
41.0,24.994479240326697
42.0,59.50936746434547
43.0,23.002972532470356
44.0,14.0996381718445
45.0,74.07433424799984
46.0,89.42525962753204
47.0,6.238707489366228
48.0,42.00870910796402
49.0,45.38118374347156
50.0,37.088159884318436
51.0,74.58304575131704
52.0,69.94291665821706
53.0,97.24411553795852
54.0,42.68542130990758
55.0,80.34576545331144
56.0,46.06739175009544
57.0,-0.6950090464307161
58.0,8.448925358303846
59.0,66.97149426254735
60.0,66.58091917817966
61.0,54.78498034516178
62.0,24.130244922225128
63.0,25.357972956703268
64.0,53.3123044212748
65.0,39.99475734955059
66.0,90.5096079891289
67.0,37.29510112874251
68.0,46.954832436692435
69.0,106.46942422503601
70.0,50.727349968592364
71.0,4.4419199051081595
72.0,26.345864240586415
73.0,34.37076574672153
74.0,31.813284584270967
75.0,42.68802452063454
76.0,88.82822836024032
77.0,43.007015576863274
78.0,18.71851428803425
79.0,24.256070477909084
80.0,42.51943946321877
81.0,108.85833213556812
82.0,37.750573481141146
83.0,9.292784291645908
84.0,54.268880842526194
85.0,39.128370621229934
86.0,53.08054585034686
87.0,38.88954944365415
88.0,77.56419289331755
89.0,54.96870588993312
90.0,8.569403355850323
91.0,83.85486056389904
92.0,7.050830652576551
93.0,10.081238638289538
94.0,99.5069562917788
95.0,96.96812266827453
96.0,17.69474189948158
97.0,24.703271398392456
98.0,92.8721308338846
99.0,101.33509356081187
100.0,33.54314868661355
101.0,34.650914676209176
102.0,22.866968831602815
103.0,45.689206655851144
104.0,45.78425098926986
105.0,29.34389679310197
106.0,8.098891905517268
107.0,10.492136011337283
108.0,42.14050817577175
109.0,90.3898855339277
110.0,59.89562387721954
111.0,34.331440606293675
112.0,67.61822967689571
113.0,48.54245472360779
114.0,45.819168490457834
115.0,96.92028389992073
116.0,43.54905544760486
117.0,87.14775262025157
118.0,85.4317651945688
119.0,60.9913885562675
120.0,25.74279948971805
121.0,95.73918484944808
122.0,45.445942560464054
123.0,45.39762865841611
124.0,48.96923927334779
125.0,95.33143005211912
126.0,47.665415816442234
127.0,13.90394682354964
128.0,71.76885759073357
129.0,26.72507146675341
130.0,47.89788649740377
131.0,35.48442148184936
132.0,28.30975175893817
133.0,35.42031523758332
134.0,22.9309376966894
135.0,72.02744506437347
136.0,40.42667005055752
137.0,75.8960245317932
138.0,42.68049636738938
139.0,76.55536168934537
140.0,26.235309019693094
141.0,4.917994729570554
142.0,57.137037728026215
143.0,21.084771102204307
144.0,19.13064821510376
145.0,86.74004275612036
146.0,78.70232511646587
147.0,17.506992179723515
148.0,22.609674683888787
149.0,114.38276345535503
150.0,26.650473031873208
151.0,79.49835957866554
152.0,27.74560358944155
153.0,14.02611223136163
154.0,60.18058049603258
155.0,93.76910904953992
156.0,57.42371035921022
157.0,11.838103258622926
158.0,10.742260529947007
159.0,43.90543904553786
160.0,32.064836653355776
161.0,12.231775596461704
162.0,17.792805230389725
163.0,7.204086575268091
164.0,27.949468763321764
165.0,31.66267937472806
166.0,7.025170925065254
167.0,20.913479811727875
168.0,24.408671007527104
169.0,87.11547618032782
170.0,26.404724946619314
171.0,83.97790295780241
172.0,33.3549008296902
173.0,25.930067786038347
174.0,-1.7406041946977084
175.0,78.57049488151044
176.0,51.47128667767579
177.0,-0.8401758902630805
178.0,27.061994879888857
179.0,5.543506829214161
180.0,40.48639983086129
181.0,50.50186687648938
182.0,37.68580633582533
